# LastModified: 2024-11-20T15:13:46.938504Z
AB1	Aged Brie	2025-01-16	29
AOA1	Amulet of Absorbing	2025-02-03	21
AOY1	Amulet of Youth	2025-01-18	26
COEH1	Chest of Eternal Health	2024-12-24	8
CB1	Conjured Banana	2024-12-04	25
CHB1	Conjured Holy Band	2024-12-29	6
CRF1	Cursed Rabbits Foot	2025-02-23	5
DP1	Deepstar Polyp	2025-01-08	48
ER1	Eternal Ring	2025-01-28	6
EC1	Eternity Chest	2025-01-24	36
ES1	Eternity Stone	2025-01-31	41
GB1	Guardian Box	2024-12-10	24
GB2	Guardian Box	2024-12-24	40
HOO1	Hand of Oblivion	2024-12-14	18
IS1	Impurity Seal	2025-02-01	21
IQD1	Inscrutable Quantum Device	2024-12-17	36
IOR1	Instrument of Restoration	2025-01-23	47
MM1	Malediction Mirror	2024-12-11	36
MOV1	Mask of Virility	2024-12-25	3
MP1	Massacre Pillar	2025-02-13	49
POD1	Pillar of Dreams	2024-12-18	31
RK1	Revelation Key	2025-02-21	14
SOE1	Shield of Evils	2024-12-18	36
SHOR1	Sulfuras, Hand of Ragnaros	2025-01-13	50
SHOR2	Sulfuras, Hand of Ragnaros	2025-01-22	50
TS1	Termination Statue	2025-02-12	48
TH1	Thunder Horn	2025-02-26	22
TOF1	Tome of Fate	2024-12-16	34
UOR1	Urn of Riddles	2025-02-22	23
VAN1	Backstage Passes for Osric and the Vandals	2024-12-18	15
